Plot,Subplot,Species,Tag_number,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,pots,color
5,10,Tri,1374,PlantNW-SoilNW-FungW,NW,NW,W,1,white
7,10,Mai,1401,PlantNW-SoilNW-FungNWsterile,NW,NW,NWsterile,1,white
6,36,Mai,1467,PlantNW-SoilW-FungW,NW,W,W,2,purple
7,11,Mai,1468,PlantNW-SoilNW-FungW,NW,NW,W,2,white
5,23,Mai,1476,PlantNW-SoilNW-FungW,NW,NW,W,1,white
6,8,Mai,1495,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
5,17,Mai,1499,PlantNW-SoilW-FungW,NW,W,W,2,purple
7,11,Tri,1647,PlantNW-SoilNW-FungW,NW,NW,W,1,white
3,27,Tri,1666,PlantW-SoilNW-FungW,W,NW,W,1,pink
7,11,Tri,1669,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
3,6,Tri,1686,PlantNW-SoilW-FungNW,NW,W,NW,1,green
7,15,Mai,1689,PlantW-SoilW-FungNW,W,W,NW,2,orange
7,15,Mai,1700,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
5,20,Tri,1750,PlantW-SoilW-FungW,W,W,W,1,red
7,8,Tri,1827,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
7,8,Tri,1851,PlantW-SoilW-FungNW,W,W,NW,1,orange
3,5,Tri,1926,PlantNW-SoilW-FungW,NW,W,W,1,purple
6,19,Mai,1941,PlantW-SoilW-FungNW,W,W,NW,1,orange
7,18,Tri,1975,PlantNW-SoilW-FungW,NW,W,W,1,purple
6,16,Tri,2074,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
3,30,Mai,2131,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
7,11,Tri,2131,PlantNW-SoilW-FungW,NW,W,W,1,purple
7,21,Mai,2247,PlantW-SoilW-FungNWsterile,W,W,NWsterile,1,orange_blue
7,23,Mai,2265,PlantNW-SoilNW-FungW,NW,NW,W,2,white
6,22,Tri,2276,PlantNW-SoilW-FungWsterile,NW,W,Wsterile,1,purple_blue
7,23,Mai,2285,PlantNW-SoilW-FungNW,NW,W,NW,2,green
7,11,Tri,2289,PlantNW-SoilW-FungNW,NW,W,NW,1,green
3,4,Mai,2310,PlantNW-SoilW-FungNW,NW,W,NW,1,green
3,20,Tri,2329,PlantW-SoilW-FungW,W,W,W,1,red
3,22,Mai,2337,PlantNW-SoilNW-FungW,NW,NW,W,1,white
7,23,Tri,2379,PlantNW-SoilW-FungW,NW,W,W,1,purple
7,23,Tri,2382,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
3,17,Tri,2416,PlantNW-SoilW-FungNWsterile,NW,W,NWsterile,1,green_blue
7,33,Mai,2546,PlantW-SoilW-FungNW,W,W,NW,2,orange
5,19,Tri,2547,PlantW-SoilNW-FungW,W,NW,W,1,pink
5,16,Tri,2563,PlantNW-SoilNW-FungW,NW,NW,W,1,white
5,31,Tri,2573,PlantW-SoilNW-FungW,W,NW,W,1,pink
6,25,Mai,2608,PlantW-SoilNW-FungW,W,NW,W,1,pink
5,36,Mai,2616,PlantNW-SoilW-FungNW,NW,W,NW,1,green
5,36,Mai,2637,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
6,21,Mai,2639,PlantW-SoilW-FungW,W,W,W,1,red
5,36,Mai,2662,PlantNW-SoilNW-FungW,NW,NW,W,2,white
7,20,Mai,2666,PlantW-SoilNW-FungW,W,NW,W,2,pink
4,21,Mai,2689,PlantW-SoilW-FungW,W,W,W,1,red
6,21,Mai,2692,PlantW-SoilNW-FungWsterile,W,NW,Wsterile,3,pink_blue
4,8,Tri,2703,PlantW-SoilNW-FungW,W,NW,W,1,pink
6,30,Mai,2726,PlantNW-SoilW-FungW,NW,W,W,1,purple
6,36,Mai,2743,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
7,10,Mai,2753,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
7,10,Mai,2776,PlantNW-SoilNW-FungWsterile,NW,NW,Wsterile,1,white_blue
6,14,Mai,2799,PlantW-SoilW-FungNW,W,W,NW,1,orange
5,18,Mai,2803,PlantNW-SoilW-FungNW,NW,W,NW,1,green
7,24,Tri,2886,PlantNW-SoilW-FungNW,NW,W,NW,1,green
5,11,Tri,2912,PlantNW-SoilNW-FungWsterile,NW,NW,Wsterile,1,white_blue
7,14,Tri,2927,PlantW-SoilW-FungNW,W,W,NW,1,orange
6,6,Tri,2941,PlantNW-SoilW-FungW,NW,W,W,1,purple
6,11,Tri,2980,PlantNW-SoilNW-FungW,NW,NW,W,1,white
5,33,Tri,2988,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
5,21,Tri,3004,PlantW-SoilW-FungNW,W,W,NW,1,orange
4,28,Tri,3031,PlantNW-SoilNW-FungW,NW,NW,W,1,white
7,24,Tri,3043,PlantNW-SoilW-FungW,NW,W,W,1,purple
7,8,Tri,3071,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
5,21,Tri,3077,PlantW-SoilNW-FungW,W,NW,W,1,pink
6,32,Mai,3136,PlantW-SoilW-FungNW,W,W,NW,1,orange
6,5,Tri,3305,PlantNW-SoilNW-FungW,NW,NW,W,1,white
4,9,Tri,3309,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
6,11,Tri,3371,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
6,11,Tri,3379,PlantNW-SoilNW-FungNWsterile,NW,NW,NWsterile,1,white
7,35,Tri,3427,PlantNW-SoilW-FungNW,NW,W,NW,1,green
6,11,Mai,3438,PlantNW-SoilNW-FungW,NW,NW,W,2,white
7,35,Tri,3526,PlantNW-SoilW-FungNW,NW,W,NW,1,green
3,4,Tri,3563,PlantNW-SoilW-FungW,NW,W,W,1,purple
3,30,Mai,3665,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
4,10,Tri,3708,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
5,33,Tri,3829,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
5,3,Mai,3960,PlantW-SoilNW-FungNW,W,NW,NW,2,yellow
5,3,Mai,3993,PlantW-SoilW-FungNW,W,W,NW,1,orange
5,20,Tri,4000,PlantW-SoilW-FungW,W,W,W,1,red
7,15,Mai,4061,PlantW-SoilNW-FungW,W,NW,W,1,pink
7,18,Tri,4081,PlantNW-SoilW-FungNW,NW,W,NW,1,green
5,10,Tri,4105,PlantNW-SoilW-FungW,NW,W,W,1,purple
5,32,Tri,4109,PlantW-SoilW-FungW,W,W,W,1,red
5,13,Tri,4149,PlantW-SoilW-FungW,W,W,W,1,red
5,14,Tri,4177,PlantW-SoilW-FungNW,W,W,NW,1,orange
4,31,Mai,4193,PlantW-SoilNW-FungW,W,NW,W,1,pink
6,11,Mai,4216,PlantNW-SoilNW-FungNW,NW,NW,NW,3,white
6,32,Mai,4237,PlantW-SoilNW-FungW,W,NW,W,2,pink
3,2,Mai,4250,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
5,31,Tri,4265,PlantW-SoilW-FungW,W,W,W,1,red
6,2,Tri,4373,PlantW-SoilNW-FungW,W,NW,W,1,pink
5,22,Tri,4414,PlantNW-SoilW-FungW,NW,W,W,1,purple
5,23,Tri,4431,PlantNW-SoilW-FungNW,NW,W,NW,1,green
4,7,Tri,4452,PlantW-SoilNW-FungW,W,NW,W,1,pink
6,11,Tri,4505,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
6,16,Tri,4511,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
5,10,Tri,4547,PlantNW-SoilW-FungW,NW,W,W,1,purple
5,21,Tri,4576,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
6,11,Tri,4582,PlantNW-SoilW-FungNW,NW,W,NW,1,green
7,35,Mai,4632,PlantNW-SoilW-FungNW,NW,W,NW,2,green
7,24,Mai,4676,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
7,34,Mai,4698,PlantNW-SoilW-FungNW,NW,W,NW,2,green
6,2,Tri,4712,PlantW-SoilW-FungW,W,W,W,1,red
3,7,Tri,4714,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
6,8,Mai,4722,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
7,23,Mai,4736,PlantNW-SoilW-FungNW,NW,W,NW,2,green
4,31,Mai,4740,PlantW-SoilW-FungW,W,W,W,2,red
6,12,Tri,4745,PlantNW-SoilW-FungNW,NW,W,NW,1,green
6,2,Tri,4760,PlantW-SoilNW-FungWsterile,W,NW,Wsterile,1,pink_blue
5,23,Mai,4781,PlantNW-SoilW-FungNW,NW,W,NW,3,green
7,30,Mai,4802,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
7,15,Mai,4804,PlantW-SoilNW-FungWsterile,W,NW,Wsterile,1,pink_blue
7,30,Mai,4834,PlantNW-SoilW-FungW,NW,W,W,1,purple
7,19,Mai,4844,PlantW-SoilW-FungW,W,W,W,1,red
7,24,Mai,4859,PlantNW-SoilNW-FungNW,NW,NW,NW,2,white
7,24,Mai,4865,PlantNW-SoilW-FungW,NW,W,W,2,purple
7,19,Mai,4871,PlantW-SoilW-FungNW,W,W,NW,2,orange
7,28,Mai,4874,PlantNW-SoilW-FungW,NW,W,W,1,purple
7,35,Mai,4883,PlantNW-SoilNW-FungNW,NW,NW,NW,2,white
3,23,Tri,4934,PlantNW-SoilW-FungNW,NW,W,NW,1,green
3,27,Tri,4942,PlantW-SoilNW-FungW,W,NW,W,1,pink
5,22,Tri,4959,PlantNW-SoilW-FungNW,NW,W,NW,1,green
5,22,Tri,4990,PlantNW-SoilNW-FungW,NW,NW,W,1,white
6,8,Mai,5009,PlantW-SoilNW-FungW,W,NW,W,1,pink
7,20,Mai,5015,PlantW-SoilW-FungNW,W,W,NW,1,orange
6,11,Mai,5025,PlantNW-SoilNW-FungW,NW,NW,W,3,white
3,24,Mai,5030,PlantNW-SoilW-FungW,NW,W,W,2,purple
6,28,Tri,5031,PlantNW-SoilNW-FungW,NW,NW,W,1,white
4,20,Tri,5040,PlantW-SoilW-FungNW,W,W,NW,1,orange
5,36,Mai,5052,PlantNW-SoilW-FungW,NW,W,W,1,purple
6,27,Tri,5060,PlantW-SoilW-FungWsterile,W,W,Wsterile,1,red_blue
3,24,Mai,5069,PlantNW-SoilW-FungNW,NW,W,NW,1,green
7,20,Mai,5073,PlantW-SoilNW-FungNW,W,NW,NW,2,yellow
4,25,Mai,5074,PlantW-SoilW-FungW,W,W,W,2,red
7,20,Mai,5077,PlantW-SoilNW-FungNWsterile,W,NW,NWsterile,1,yellow_blue
3,8,Mai,5105,PlantW-SoilW-FungNW,W,W,NW,3,orange
5,19,Tri,5115,PlantW-SoilNW-FungW,W,NW,W,1,pink
6,2,Mai,5122,PlantW-SoilW-FungW,W,W,W,3,red
6,32,Mai,5178,PlantW-SoilW-FungW,W,W,W,1,red
3,13,Mai,5184,PlantW-SoilW-FungW,W,W,W,3,red
5,19,Tri,5228,PlantW-SoilW-FungW,W,W,W,1,red
5,22,Tri,5229,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
6,1,Tri,5229,PlantW-SoilW-FungW,W,W,W,1,red
6,2,Tri,5267,PlantW-SoilNW-FungW,W,NW,W,1,pink
5,10,Tri,5381,PlantNW-SoilNW-FungWsterile,NW,NW,Wsterile,1,white_blue
6,6,Tri,5403,PlantNW-SoilNW-FungW,NW,NW,W,1,white
3,3,Tri,5436,PlantW-SoilW-FungNW,W,W,NW,1,orange
3,1,Tri,5488,PlantW-SoilNW-FungNWsterile,W,NW,NWsterile,1,yellow_blue
6,36,Mai,5504,PlantNW-SoilW-FungW,NW,W,W,1,purple
6,21,Mai,5506,PlantW-SoilW-FungNW,W,W,NW,3,orange
6,22,Mai,5567,PlantNW-SoilNW-FungNW,NW,NW,NW,3,white
6,11,Mai,5569,PlantNW-SoilW-FungW,NW,W,W,1,purple
6,25,Mai,5579,PlantW-SoilNW-FungNW,W,NW,NW,3,yellow
6,8,Mai,5596,PlantW-SoilW-FungW,W,W,W,2,red
6,32,Mai,5600,PlantW-SoilW-FungW,W,W,W,3,red
6,9,Mai,5607,PlantW-SoilW-FungWsterile,W,W,Wsterile,1,red_blue
6,5,Tri,5619,PlantNW-SoilNW-FungW,NW,NW,W,1,white
6,6,Tri,5626,PlantNW-SoilW-FungNW,NW,W,NW,1,green
6,4,Tri,5641,PlantNW-SoilW-FungW,NW,W,W,1,purple
5,23,Mai,5657,PlantNW-SoilNW-FungW,NW,NW,W,1,white
6,9,Mai,5664,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
6,8,Tri,5714,PlantW-SoilW-FungNWsterile,W,W,NWsterile,1,orange_blue
6,6,Tri,5722,PlantNW-SoilW-FungWsterile,NW,W,Wsterile,1,purple_blue
6,3,Tri,5742,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
6,5,Tri,5771,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
6,9,Tri,5852,PlantW-SoilW-FungNW,W,W,NW,1,orange
6,2,Tri,5865,PlantW-SoilW-FungNW,W,W,NW,1,orange
5,27,Tri,5877,PlantW-SoilW-FungNW,W,W,NW,1,orange
5,9,Tri,5904,PlantW-SoilW-FungNW,W,W,NW,1,orange
7,32,Mai,6000,PlantW-SoilNW-FungW,W,NW,W,1,pink
7,32,Mai,6027,PlantW-SoilNW-FungNWsterile,W,NW,NWsterile,2,yellow_blue
7,34,Mai,6100,PlantNW-SoilNW-FungW,NW,NW,W,1,white
6,36,Mai,6462,PlantNW-SoilW-FungNW,NW,W,NW,2,green
6,22,Mai,6463,PlantNW-SoilW-FungNWsterile,NW,W,NWsterile,1,green_blue
6,19,Mai,6483,PlantW-SoilNW-FungNW,W,NW,NW,2,yellow
6,25,Mai,6495,PlantW-SoilW-FungNW,W,W,NW,3,orange
7,12,Tri,6507,PlantNW-SoilNW-FungW,NW,NW,W,1,white
3,22,Tri,6558,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
7,35,Mai,6685,PlantNW-SoilNW-FungNW,NW,NW,NW,2,white
7,25,Mai,6808,PlantW-SoilNW-FungNW,W,NW,NW,2,yellow
5,29,Tri,6875,PlantNW-SoilNW-FungW,NW,NW,W,1,white
6,36,Tri,6879,PlantNW-SoilNW-FungW,NW,NW,W,1,white
5,10,Tri,6881,PlantNW-SoilW-FungNW,NW,W,NW,1,green
7,30,Mai,6882,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white
3,20,Tri,6885,PlantW-SoilW-FungW,W,W,W,1,red
7,25,Mai,6886,PlantW-SoilW-FungWsterile,W,W,Wsterile,1,red_blue
5,2,Tri,6887,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
7,20,Tri,6894,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
4,31,Mai,6899,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
5,17,Tri,7120,PlantNW-SoilNW-FungNWsterile,NW,NW,NWsterile,1,white
5,9,Tri,7147,PlantW-SoilNW-FungW,W,NW,W,1,pink
7,12,Tri,7574,PlantNW-SoilW-FungNW,NW,W,NW,1,green
4,3,Tri,9145,PlantW-SoilW-FungNW,W,W,NW,1,orange
3,3,Mai,9412,PlantW-SoilNW-FungW,W,NW,W,2,pink
6,2,Tri,1184 (5226),PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
7,14,Tri,2996A1,PlantW-SoilW-FungW,W,W,W,1,red
7,14,Tri,2996A2,PlantW-SoilW-FungW,W,W,W,1,red
7,14,Tri,2996A3,PlantW-SoilW-FungW,W,W,W,1,red
5,33,Tri,4444 (2988),PlantW-SoilW-FungWsterile,W,W,Wsterile,1,red_blue
6,16,Tri,4543 (5232),PlantNW-SoilW-FungW,NW,W,W,1,purple
6,2,Tri,4777-A,PlantW-SoilNW-FungW,W,NW,W,1,pink
6,2,Tri,4777-B,PlantW-SoilW-FungNWsterile,W,W,NWsterile,1,orange_blue
6,2,Tri,4777-C,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow
5,14,Tri,flag1_tri,PlantW-SoilW-FungNW,W,W,NW,1,orange
5,3,Mai,flag2,PlantW-SoilNW-FungW,W,NW,W,1,pink
5,14,Tri,flag2_tri,PlantW-SoilNW-FungW,W,NW,W,1,pink
5,14,Tri,flag3_tri,PlantW-SoilW-FungW,W,W,W,1,red
3,32,Mai,TT24-101,PlantW-SoilNW-FungW,W,NW,W,3,pink
3,32,Mai,TT24-102,PlantW-SoilW-FungNW,W,W,NW,1,orange
6,27,Mai,TT24-104,PlantW-SoilNW-FungW,W,NW,W,3,pink
6,27,Mai,TT24-106,PlantW-SoilW-FungW,W,W,W,1,red
3,13,Mai,TT24-110,PlantW-SoilNW-FungW,W,NW,W,2,pink
3,8,Mai,TT24-111,PlantW-SoilW-FungW,W,W,W,1,red
3,2,Mai,TT24-112,PlantW-SoilNW-FungNW,W,NW,NW,3,yellow
6,8,Mai,TT24-130,PlantW-SoilW-FungNW,W,W,NW,2,orange
6,9,Mai,TT24-131,PlantW-SoilNW-FungW,W,NW,W,1,pink
6,2,Mai,TT24-132,PlantW-SoilW-FungNWsterile,W,W,NWsterile,1,orange_blue
6,20,Mai,TT24-135,PlantW-SoilNW-FungW,W,NW,W,2,pink
6,19,Mai,TT24-150,PlantW-SoilW-FungW,W,W,W,1,red
3,30,Mai,TT24-202,PlantNW-SoilW-FungW,NW,W,W,1,purple
6,34,Mai,TT24-205,PlantNW-SoilW-FungNW,NW,W,NW,1,green
6,22,Mai,TT24-206,PlantNW-SoilW-FungWsterile,NW,W,Wsterile,1,purple_blue
3,5,Mai,TT24-210,PlantNW-SoilW-FungNW,NW,W,NW,1,green
3,18,Mai,TT24-211,PlantNW-SoilW-FungW,NW,W,W,1,purple
3,4,Mai,TT24-212,PlantNW-SoilNW-FungNWsterile,NW,NW,NWsterile,3,white
6,29,Mai,TT24-230,PlantNW-SoilW-FungNW,NW,W,NW,3,green
6,12,Mai,TT24-231,PlantNW-SoilW-FungNWsterile,NW,W,NWsterile,1,green_blue
6,36,Mai,TT24-233,PlantNW-SoilW-FungW,NW,W,W,1,purple
6,11,Mai,TT24-234,PlantNW-SoilW-FungW,NW,W,W,3,purple
