Plot,Subplot,Species,Tag_number,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,pots,color_original,color_updated,barcodes
3,22,Mai,2337,PlantNW-SoilNW-FungW,NW,NW,W,1,white,white,2337_Mai_white
7,23,Tri,2379,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,2379_Tri_purple
7,23,Tri,2382,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white,blue,2382_Tri_blue
3,17,Tri,2416,PlantNW-SoilW-FungNWsterile,NW,W,NWsterile,1,green_blue,green_blue,2416_Tri_green_blue
7,33,Mai,2546,PlantW-SoilW-FungNW,W,W,NW,2,orange,orange,2546_Mai_orange
5,19,Tri,2547,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,2547_Tri_pink
5,16,Tri,2563,PlantNW-SoilNW-FungW,NW,NW,W,1,white,white,2563_Tri_white
5,31,Tri,2573,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,2573_Tri_pink
6,25,Mai,2608,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,2608_Mai_pink
5,36,Mai,2616,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,2616_Mai_green
5,36,Mai,2637,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white,blue,2637_Mai_blue
6,21,Mai,2639,PlantW-SoilW-FungW,W,W,W,1,red,red,2639_Mai_red
5,36,Mai,2662,PlantNW-SoilNW-FungW,NW,NW,W,2,white,white,2662_Mai_white
7,20,Mai,2666,PlantW-SoilNW-FungW,W,NW,W,2,pink,pink,2666_Mai_pink
4,21,Mai,2689,PlantW-SoilW-FungW,W,W,W,1,red,red,2689_Mai_red
6,21,Mai,2692,PlantW-SoilNW-FungWsterile,W,NW,Wsterile,3,pink_blue,pink_blue,2692_Mai_pink_blue
4,8,Tri,2703,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,2703_Tri_pink
6,30,Mai,2726,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,2726_Mai_purple
6,36,Mai,2743,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white,blue,2743_Mai_blue
7,10,Mai,2753,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white,blue,2753_Mai_blue
7,10,Mai,2776,PlantNW-SoilNW-FungWsterile,NW,NW,Wsterile,1,white_blue,white_blue,2776_Mai_white_blue
6,14,Mai,2799,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,2799_Mai_orange
5,18,Mai,2803,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,2803_Mai_green
7,24,Tri,2886,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,2886_Tri_green
5,11,Tri,2912,PlantNW-SoilNW-FungWsterile,NW,NW,Wsterile,1,white_blue,white_blue,2912_Tri_white_blue
7,14,Tri,2927,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,2927_Tri_orange
6,6,Tri,2941,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,2941_Tri_purple
6,11,Tri,2980,PlantNW-SoilNW-FungW,NW,NW,W,1,white,white,2980_Tri_white
5,33,Tri,2988,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,yellow,2988_Tri_yellow
5,21,Tri,3004,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,3004_Tri_orange
4,28,Tri,3031,PlantNW-SoilNW-FungW,NW,NW,W,1,white,white,3031_Tri_white
7,24,Tri,3043,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,3043_Tri_purple
7,8,Tri,3071,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,yellow,3071_Tri_yellow
5,21,Tri,3077,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,3077_Tri_pink
6,32,Mai,3136,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,3136_Mai_orange
6,5,Tri,3305,PlantNW-SoilNW-FungW,NW,NW,W,1,white,white,3305_Tri_white
4,9,Tri,3309,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,yellow,3309_Tri_yellow
6,11,Tri,3371,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white,blue,3371_Tri_blue
6,11,Tri,3379,PlantNW-SoilNW-FungNWsterile,NW,NW,NWsterile,1,white,blue_blue,3379_Tri_blue_blue
7,35,Tri,3427,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,3427_Tri_green
6,11,Mai,3438,PlantNW-SoilNW-FungW,NW,NW,W,2,white,white,3438_Mai_white
7,35,Tri,3526,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,3526_Tri_green
3,4,Tri,3563,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,3563_Tri_purple
3,30,Mai,3665,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white,blue,3665_Mai_blue
4,10,Tri,3708,PlantNW-SoilNW-FungNW,NW,NW,NW,1,white,blue,3708_Tri_blue
5,33,Tri,3829,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,yellow,3829_Tri_yellow
5,3,Mai,3960,PlantW-SoilNW-FungNW,W,NW,NW,2,yellow,yellow,3960_Mai_yellow
5,3,Mai,3993,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,3993_Mai_orange
5,20,Tri,4000,PlantW-SoilW-FungW,W,W,W,1,red,red,4000_Tri_red
7,15,Mai,4061,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,4061_Mai_pink
7,18,Tri,4081,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,4081_Tri_green
5,10,Tri,4105,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,4105_Tri_purple
5,32,Tri,4109,PlantW-SoilW-FungW,W,W,W,1,red,red,4109_Tri_red
5,13,Tri,4149,PlantW-SoilW-FungW,W,W,W,1,red,red,4149_Tri_red
5,14,Tri,4177,PlantW-SoilW-FungNW,W,W,NW,1,orange,orange,4177_Tri_orange
4,31,Mai,4193,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,4193_Mai_pink
6,11,Mai,4216,PlantNW-SoilNW-FungNW,NW,NW,NW,3,white,blue,4216_Mai_blue
6,32,Mai,4237,PlantW-SoilNW-FungW,W,NW,W,2,pink,pink,4237_Mai_pink
3,2,Mai,4250,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,yellow,4250_Mai_yellow
5,31,Tri,4265,PlantW-SoilW-FungW,W,W,W,1,red,red,4265_Tri_red
6,2,Tri,4373,PlantW-SoilNW-FungW,W,NW,W,1,pink,pink,4373_Tri_pink
5,22,Tri,4414,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,4414_Tri_purple
