Plot,Subplot,Species,Tag_number,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,pots,color_original,color_updated,barcodes
6,19,Mai,TT24-150,PlantW-SoilW-FungW,W,W,W,1,red,red,TT24-150_Mai_red
3,30,Mai,TT24-202,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,TT24-202_Mai_purple
6,34,Mai,TT24-205,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,TT24-205_Mai_green
6,22,Mai,TT24-206,PlantNW-SoilW-FungWsterile,NW,W,Wsterile,1,purple_blue,purple_blue,TT24-206_Mai_purple_blue
3,5,Mai,TT24-210,PlantNW-SoilW-FungNW,NW,W,NW,1,green,green,TT24-210_Mai_green
3,18,Mai,TT24-211,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,TT24-211_Mai_purple
3,4,Mai,TT24-212,PlantNW-SoilNW-FungNWsterile,NW,NW,NWsterile,3,white,blue_blue,TT24-212_Mai_blue_blue
6,29,Mai,TT24-230,PlantNW-SoilW-FungNW,NW,W,NW,3,green,green,TT24-230_Mai_green
6,12,Mai,TT24-231,PlantNW-SoilW-FungNWsterile,NW,W,NWsterile,1,green_blue,green_blue,TT24-231_Mai_green_blue
6,36,Mai,TT24-233,PlantNW-SoilW-FungW,NW,W,W,1,purple,purple,TT24-233_Mai_purple
6,11,Mai,TT24-234,PlantNW-SoilW-FungW,NW,W,W,3,purple,purple,TT24-234_Mai_purple
