flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00438_20251204105230_b3a,10:52:30,2025-12-04,PFA-00474,PSA-00486,PSF-00438,320.299744,223.465210,0.302325,0.000000,0.000000,0.000000,3.921021

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,282.233124,5996.140625
0.010000,308.272705,5996.140625
0.020000,312.429779,5996.140625
0.030000,314.476135,5996.140625
0.040000,315.763580,5996.140625
0.050000,316.638702,5996.140625
0.060000,317.284576,5996.140625
0.070000,317.774536,5996.140625
0.080000,318.169342,5996.140625
0.090000,318.436859,5996.140625
0.100000,318.688995,5996.140625
0.110000,318.864227,5996.140625
0.120000,319.014069,5996.140625
0.130000,319.124573,5996.140625
0.140000,319.212555,5996.140625
0.150000,319.276917,5996.140625
0.160000,319.336639,5996.140625
0.170000,319.380280,5996.140625
0.180000,319.421753,5996.140625
0.190000,319.457886,5996.140625
0.200000,319.500092,5996.140625
0.210000,319.489349,5996.140625
0.220000,319.518341,5996.140625
0.230000,319.522614,5996.140625
0.240000,319.519745,5996.140625
0.250000,319.537994,5996.140625
0.260000,319.535126,5996.140625
0.270000,319.534058,5996.140625
0.280000,319.551941,5996.140625
0.290000,319.568024,5996.140625
0.300000,319.598785,5996.140625
0.310000,319.605225,5996.140625
0.320000,319.628113,5996.140625
0.330000,319.642426,5996.140625
0.340000,319.652435,5996.140625
0.350000,319.667816,5996.140625
0.360000,319.707153,5996.140625
0.370000,319.750061,5996.140625
0.380000,319.772614,5996.140625
0.390000,319.794067,5996.140625
0.400000,319.850220,5996.140625
0.410000,319.871674,5996.140625
0.420000,319.909943,5996.140625
0.430000,319.933899,5996.140625
0.440000,319.962494,5996.140625
0.450000,319.970734,5996.140625
0.460000,320.017944,5996.140625
0.470000,320.051910,5996.140625
0.480000,320.075500,5996.140625
0.490000,320.088379,5996.140625
0.500000,320.125214,5996.140625
0.510000,320.123779,5996.140625
0.520000,320.147766,5996.140625
0.530000,320.154541,5996.140625
0.540000,320.166718,5996.140625
0.550000,320.192444,5996.140625
0.560000,320.202118,5996.140625
0.570000,320.210693,5996.140625
0.580000,320.223938,5996.140625
0.590000,320.234650,5996.140625
0.600000,320.253265,5996.140625
0.610000,320.250397,5996.140625
0.620000,320.243958,5996.140625
0.630000,320.250763,5996.140625
0.640000,320.268280,5996.140625
0.650000,320.271149,5996.140625
0.660000,320.263275,5996.140625
0.670000,320.268982,5996.140625
0.680000,320.280792,5996.140625
0.690000,320.272552,5996.140625
0.700000,320.299744,5996.140625
0.710000,320.284363,5996.140625
0.720000,320.280426,5996.140625
0.730000,320.272552,5996.140625
0.740000,320.285095,5996.140625
0.750000,320.285095,5996.140625
0.760000,320.279724,5996.140625
0.770000,320.279358,5996.140625
0.780000,320.272552,5996.140625
0.790000,320.272919,5996.140625
