Plot,Subplot,spp,id,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,pots,color,emerged,unwhorled,senesced,notes
5,9,Tri,43,PlantW-SoilNW-FungWsterile,W,NW,Wsterile,1,pink_blue,NA,NA,NA,
3,16,Mai,54,PlantNW-SoilNW-FungW,NW,NW,W,1,white,2/13/2025,3/1/2025,NA,
5,9,Tri,86,PlantW-SoilNW-FungW,W,NW,W,1,pink,NA,NA,NA,
3,18,Mai,129,PlantNW-SoilW-FungNW,NW,W,NW,1,green,2/26/2025,NA,NA,
3,30,Mai,179,PlantNW-SoilW-FungW,NW,W,W,2,purple,2/18/2025,2/27/2025,NA,
7,34,Mai,235,PlantNW-SoilNW-FungW,NW,NW,W,2,white,2/18/2025,NA,NA,
3,22,Tri,392,PlantNW-SoilNW-FungNW,NW,NW,NW,1,blue,NA,NA,NA,never emerged
3,22,Tri,452,PlantNW-SoilNW-FungNW,NW,NW,NW,1,blue,NA,NA,NA,never emerged
5,22,Tri,482,PlantNW-SoilNW-FungNW,NW,NW,NW,1,blue,NA,NA,NA,never emerged
3,30,Mai,511,PlantNW-SoilW-FungWsterile,NW,W,Wsterile,1,purple_blue,NA,NA,NA,
3,30,Mai,543,PlantNW-SoilNW-FungNW,NW,NW,NW,1,blue,NA,NA,NA,never emerged
7,32,Mai,545,PlantW-SoilW-FungW,W,W,W,2,red,2/18/2025,3/1/2025,NA,
3,14,Tri,552,PlantW-SoilW-FungNW,W,W,NW,1,orange,NA,NA,NA,
3,23,Tri,583,PlantNW-SoilNW-FungW,NW,NW,W,1,white,NA,NA,NA,
5,11,Tri,614,PlantNW-SoilW-FungW,NW,W,W,1,purple,NA,NA,NA,
5,3,Mai,631,PlantW-SoilNW-FungNW,W,NW,NW,2,yellow,2/15/2025,3/1/2025,NA,
7,8,Tri,632,PlantW-SoilW-FungW,W,W,W,1,red,1/13/2025,2/3/2025,NA,3.5cm leaf length
7,30,Mai,652,PlantNW-SoilNW-FungW,NW,NW,W,1,white,2/18/2025,3/1/2025,NA,
7,23,Mai,682,PlantNW-SoilNW-FungWsterile,NW,NW,Wsterile,1,white_blue,2/12/2025,3/3/2025,NA,
6,2,Tri,684,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,NA,NA,NA,
6,2,Tri,762,PlantW-SoilNW-FungNWsterile,W,NW,NWsterile,1,yellow_blue,NA,NA,NA,
3,20,Tri,774,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,1/13/2025,1/21/2025,NA,twin. 4.7cm leaf length. twin never emerged
4,9,Tri,827,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,NA,NA,NA,
7,28,Mai,860,PlantNW-SoilNW-FungNW,NW,NW,NW,1,blue,2/20/2025,3/21/2025,4/2/2025,
7,31,Mai,901,PlantW-SoilNW-FungNW,W,NW,NW,2,yellow,2/15/2025,3/1/2025,NA,
3,7,Tri,902,PlantW-SoilW-FungNW,W,W,NW,1,orange,NA,NA,NA,
3,16,Tri,916,PlantNW-SoilW-FungNWsterile,NW,W,NWsterile,1,green_blue,NA,NA,NA,
3,8,Tri,955,PlantW-SoilNW-FungW,W,NW,W,1,pink,NA,NA,NA,
7,11,Tri,972,PlantNW-SoilW-FungW,NW,W,W,1,purple,1/7/2025,1/16/2025,NA,3.7cm leaf length
6,6,Tri,978,PlantNW-SoilNW-FungNW,NW,NW,NW,1,blue,NA,NA,NA,never emerged
4,13,Tri,989,PlantW-SoilW-FungNW,W,W,NW,1,orange,NA,NA,NA,
3,24,Mai,1021,PlantNW-SoilNW-FungW,NW,NW,W,1,white,3/3/2025,NA,NA,
7,32,Mai,1153,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,2/15/2025,NA,NA,
3,30,Mai,1157,PlantNW-SoilNW-FungW,NW,NW,W,1,white,NA,NA,NA,
7,31,Mai,1159,PlantW-SoilW-FungNW,W,W,NW,1,orange,2/10/2025,NA,NA,
7,21,Mai,1264,PlantW-SoilW-FungW,W,W,W,3,red,2/10/2025,3/1/2025,NA,
5,10,Tri,1374,PlantNW-SoilNW-FungW,NW,NW,W,1,white,12/28/2024,1/17/2025,NA,4.5cm leaf length
7,10,Mai,1401,PlantNW-SoilNW-FungNWsterile,NW,NW,NWsterile,1,blue_blue,2/18/2025,2/26/2025,NA,
6,36,Mai,1467,PlantNW-SoilW-FungW,NW,W,W,2,purple,2/14/2025,2/22/2025,NA,
7,11,Mai,1468,PlantNW-SoilNW-FungW,NW,NW,W,2,white,2/18/2025,NA,NA,triplet
5,23,Mai,1476,PlantNW-SoilNW-FungW,NW,NW,W,1,white,3/3/2025,NA,NA,
6,8,Mai,1495,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,2/19/2025,NA,NA,
5,17,Mai,1499,PlantNW-SoilW-FungW,NW,W,W,2,purple,2/21/2025,NA,NA,
7,11,Tri,1647,PlantNW-SoilNW-FungW,NW,NW,W,1,white,NA,NA,NA,
3,27,Tri,1666,PlantW-SoilNW-FungW,W,NW,W,1,pink,NA,NA,NA,
7,11,Tri,1669,PlantNW-SoilNW-FungNW,NW,NW,NW,1,blue,1/13/2025,1/25/2025,NA,4.2 cm leaf length
3,6,Tri,1686,PlantNW-SoilW-FungNW,NW,W,NW,1,green,NA,NA,NA,
7,15,Mai,1689,PlantW-SoilW-FungNW,W,W,NW,2,orange,2/7/2025,2/21/2025,NA,
7,15,Mai,1700,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,2/10/2025,NA,NA,twin
5,20,Tri,1750,PlantW-SoilW-FungW,W,W,W,1,red,NA,NA,NA,
7,8,Tri,1827,PlantW-SoilNW-FungNW,W,NW,NW,1,yellow,NA,NA,NA,
7,8,Tri,1851,PlantW-SoilW-FungNW,W,W,NW,1,orange,NA,NA,NA,
3,5,Tri,1926,PlantNW-SoilW-FungW,NW,W,W,1,purple,NA,NA,NA,
6,19,Mai,1941,PlantW-SoilW-FungNW,W,W,NW,1,orange,2/20/2025,NA,NA,
7,18,Tri,1975,PlantNW-SoilW-FungW,NW,W,W,1,purple,NA,NA,NA,
6,16,Tri,2074,PlantNW-SoilNW-FungNW,NW,NW,NW,1,blue,NA,NA,NA,
3,30,Mai,2131,PlantNW-SoilNW-FungNW,NW,NW,NW,1,blue,NA,NA,NA,
7,11,Tri,2131,PlantNW-SoilW-FungW,NW,W,W,1,purple,NA,NA,NA,
7,21,Mai,2247,PlantW-SoilW-FungNWsterile,W,W,NWsterile,1,orange_blue,2/19/2025,NA,NA,
7,23,Mai,2265,PlantNW-SoilNW-FungW,NW,NW,W,2,white,2/7/2025,2/22/2025,NA,
6,22,Tri,2276,PlantNW-SoilW-FungWsterile,NW,W,Wsterile,1,purple_blue,NA,NA,NA,
7,23,Mai,2285,PlantNW-SoilW-FungNW,NW,W,NW,2,green,2/15/2025,2/23/2025,NA,
7,11,Tri,2289,PlantNW-SoilW-FungNW,NW,W,NW,1,green,NA,NA,NA,
3,4,Mai,2310,PlantNW-SoilW-FungNW,NW,W,NW,1,green,2/13/2025,2/20/2025,NA,
3,20,Tri,2329,PlantW-SoilW-FungW,W,W,W,1,red,NA,NA,NA,
3,22,Mai,2337,PlantNW-SoilNW-FungW,NW,NW,W,1,white,2/13/2025,2/23/2025,NA,
7,23,Tri,2379,PlantNW-SoilW-FungW,NW,W,W,1,purple,NA,NA,NA,
7,23,Tri,2382,PlantNW-SoilNW-FungNW,NW,NW,NW,1,blue,NA,NA,NA,
3,17,Tri,2416,PlantNW-SoilW-FungNWsterile,NW,W,NWsterile,1,green_blue,NA,NA,NA,
7,33,Mai,2546,PlantW-SoilW-FungNW,W,W,NW,2,orange,2/14/2025,3/1/2025,NA,
5,19,Tri,2547,PlantW-SoilNW-FungW,W,NW,W,1,pink,1/19/2025,NA,NA,
5,16,Tri,2563,PlantNW-SoilNW-FungW,NW,NW,W,1,white,NA,NA,NA,
