id,spp,trt,anet,gsw,ci.ca,Vcmax,Jmax,Rd,iwue
5015,Mai,orange,2.767282991,0.017315728,0.249657481,46.03832514,250.6492707,1.95333015,159.8132593
1941,Mai,orange,2.07010525,0.013853551,0.365161543,32.00243612,51.88080736,1.544705571,149.4277713
3993,Mai,orange,1.311459404,0.02085389,0.686317306,10.07478546,20.12017304,1.139586939,62.88799966
5009,Mai,pink,1.187771512,0.011813653,0.344371305,NA,NA,NA,100.5422749
TT24_135,Mai,pink,2.080280361,0.014264155,0.350187459,23.04497963,50.37984485,0.607180606,145.8397193
flag2,Mai,pink,1.016602582,0.011391759,0.516954497,9.18903642,22.16486717,0.750790786,89.24017634
2608,Mai,pink,0.05849167,0.007325579,0.811195362,NA,NA,NA,7.984579747
TT24_210,Mai,green,3.135401092,0.020418839,0.270196936,17.82341851,35.72354713,1.713064878,153.554329
2285,Mai,green,2.467150024,0.020474746,0.450859744,20.01935225,39.11640085,0.7614164,120.4972225
5567,Mai,blue,1.513530013,0.01294884,0.209107788,15.67295057,41.15930469,1.069932423,116.8853745
4216,Mai,blue,2.085806552,0.019564819,0.427859232,24.66700576,57.99771922,2.132140943,106.6100613
4883,Mai,blue,1.937680645,0.017495297,0.413784942,25.97366476,76.81442175,2.012242827,110.7543727
4859,Mai,blue,1.688326255,0.013392438,0.225035838,NA,NA,NA,126.0656391
54,Mai,white,0.810727684,0.005961734,0.425031418,20.93030846,33.42852801,1.837979829,135.9885704
1468,Mai,white,2.356063302,0.014486012,0.317692695,33.18010778,53.64748051,1.000666982,162.6440253
3438,Mai,white,1.054986333,0.007603679,0.41473769,15.00581115,31.43689102,0.942095575,138.7468268
2265,Mai,white,1.95034485,0.011263494,0.276976629,41.17815233,52.79476217,1.755273069,173.1562915
1264,Mai,red,1.177892859,0.007964714,0.379783241,20.71693216,29.69037856,1.233697304,147.8889084
4740,Mai,red,1.977889284,0.013627308,0.386236241,23.58424868,40.50785634,0.98731033,145.1415998
5074,Mai,red,2.906463994,0.021022358,0.417115262,40.53626054,187.0964746,2.148553375,138.2558509
5596,Mai,red,0.984771768,0.008122485,0.488104345,23.05098647,51.13826305,2.860190874,121.2402076
2639,Mai,red,0.908711278,0.009207271,0.576301393,17.27803502,31.27781547,2.04603849,98.6949638
TT24_106,Mai,red,1.268389182,0.013841777,0.603087581,20.44524801,51.3357322,1.957794404,91.63485165
