id,trt,twin,spp,stem_length_cm
54,white,a,Mai,10.6
129,green,a,Mai,2.3
179,purple,a,Mai,17.1
235,white,a,Mai,8
545,red,a,Mai,11.1
631,yellow,a,Mai,10.7
652,white,a,Mai,2.5
682,whiteblue,a,Mai,7.2
860,white,a,Mai,2.4
901,yellow,a,Mai,13.5
1021,white,a,Mai,4.2
1153,yellow,a,Mai,4.5
1159,orange,a,Mai,12.5
1264,red,a,Mai,13.2
1401,blueblue,a,Mai,9.6
1401,blueblue,b,Mai,12.2
1467,purple,a,Mai,16.6
1468,white,a,Mai,12.4
1468,white,b,Mai,5.5
1468,white,c,Mai,1.2
1495,yellow,a,Mai,4
1499,purple,a,Mai,8
1499,purple,b,Mai,6
1689,orange,a,Mai,12.4
1700,yellow,a,Mai,8.2
1700,yellow,b,Mai,4.1
1941,orange,a,Mai,19.8
2247,orangeblue,a,Mai,5.7
2265,white,a,Mai,15.6
2285,green,a,Mai,11.4
2310,green,a,Mai,10.3
2337,white,a,Mai,11.1
2546,orange,a,Mai,8.5
2608,pink,a,Mai,17.1
2608,pink,b,Mai,6.3
2616,green,a,Mai,9.8
2616,green,b,Mai,4.6
2637,blue,a,Mai,5.9
2639,red,a,Mai,17.5
2639,red,b,Mai,4.8
2662,white,a,Mai,2.5
2666,pink,a,Mai,10.5
2689,red,a,Mai,12.7
2689,red,b,Mai,4.2
2726,purple,a,Mai,10
2743,white,a,Mai,1.3
2753,white,a,Mai,6.8
2776,whiteblue,a,Mai,8.7
2776,whiteblue,b,Mai,8.1
2776,whiteblue,c,Mai,3.7
2776,whiteblue,d,Mai,0
2799,orange,a,Mai,11
2803,green,a,Mai,11.8
3136,orange,a,Mai,13.9
3438,white,a,Mai,10.2
3960,yellow,a,Mai,14.8
3993,orange,a,Mai,9.2
4061,pink,a,Mai,5.1
4193,pink,a,Mai,6.4
4216,blue,a,Mai,15.4
4216,blue,b,Mai,10
4237,pink,a,Mai,18.2
4250,yellow,a,Mai,8.7
4632,green,a,Mai,11.9
4676,blue,a,Mai,20.7
4698,green,a,Mai,10.7
4722,yellow,a,Mai,9.8
4722,yellow,a,Mai,10.4
4736,green,a,Mai,11.5
4740,red,a,Mai,15
4781,green,a,Mai,18.5
4844,red,a,Mai,16.9
4859,blue,a,Mai,23.7
4865,purple,a,Mai,13.9
4871,orange,a,Mai,16.3
4874,purple,a,Mai,11
4883,blue,a,Mai,11.6
5009,pink,a,Mai,6.8
5015,orange,a,Mai,18.7
5025,white,a,Mai,18.3
5030,purple,a,Mai,13.2
5052,purple,a,Mai,12
5069,green,a,Mai,8.9
5073,yellow,a,Mai,6.8
5074,red,a,Mai,13.7
5077,yellowblue,a,Mai,10.3
5105,orange,a,Mai,10
5105,orange,b,Mai,25
5122,red,a,Mai,8.1
5178,red,a,Mai,7.4
5504,purple,a,Mai,1.7
5506,orange,a,Mai,5.7
5506,orange,b,Mai,5.2
5506,orange,c,Mai,11.9
5567,blue,a,Mai,20.2
5567,blue,b,Mai,7.8
5569,purple,a,Mai,6
5596,red,a,Mai,11.3
5600,red,a,Mai,19.7
5607,redblue,a,Mai,3.1
5657,white,a,Mai,8.7
5664,yellow,a,Mai,6.5
5664,yellow,b,Mai,2
6000,pink,a,Mai,6.8
6027,yellowblue,a,Mai,14.2
6027,yellowblue,b,Mai,2
6462,green,a,Mai,6.7
6463,greenblue,a,Mai,11.4
6483,yellow,a,Mai,29.2
6495,orange,a,Mai,2.7
6495,orange,b,Mai,4.3
6685,blue,a,Mai,15.2
6808,yellow,a,Mai,10.3
6882,white,a,Mai,2.4
6886,redblue,a,Mai,4.8
6899,yellow,a,Mai,10.9
9412,pink,a,Mai,0.4
9412,pink,b,Mai,2.5
flag2,pink,a,Mai,11.9
TT24_101,pink,a,Mai,26.7
TT24_102,orange,a,Mai,7.1
TT24_104,pink,a,Mai,24.4
TT24_106,red,a,Mai,10.7
TT24_110,pink,a,Mai,17.5
TT24_111,red,a,Mai,9.1
TT24_111,red,b,Mai,6.7
TT24_112,yellow,a,Mai,19.1
TT24_130,orange,a,Mai,16.5
TT24_131,pink,a,Mai,6.8
TT24_132,orangeblue,a,Mai,4.3
TT24_135,pink,a,Mai,15
TT24_135,pink,b,Mai,1.6
TT24_150,red,a,Mai,5.6
TT24_205,green,a,Mai,3.7
TT24_206,purpleblue,a,Mai,6.5
TT24_210,green,a,Mai,4.3
TT24_211,purple,a,Mai,2.6
TT24_212,blueblue,a,Mai,9
TT24_230,green,a,Mai,14.5
TT24_231,greenblue,a,Mai,5.5
TT24_233,purple,a,Mai,2.8
TT24_234,purple,a,Mai,2.3
