"id","spp","full_trt","plantGMtrt","expSoilSource","ExpFungSource","anet","gsw","ci.ca","Vcmax","Jmax","Rd","iwue","n_stems","total_leaf_area","gbw","gtw","E_apparent","VPDleaf","Fs","Fm.","PhiPS2","ETR"
"5015","Mai","W_W_NW","W","W","NW",2.767282991,0.017315728,0.249657481,46.03832514,250.6492707,1.95333015,159.8132593,1,108.379357095963,2.922742,0.023707,0.359527,1.338242,141.130692,430.439301,0.672124,38.483646
"1941","Mai","W_W_NW","W","W","NW",2.07010525,0.013853551,0.365161543,32.00243612,51.88080736,1.544705571,149.4277713,1,118.758390863401,2.923704,0.005473,0.082207,1.325851,128.392334,390.267059,0.671014,35.632832
"3993","Mai","W_W_NW","W","W","NW",1.311459404,0.02085389,0.686317306,10.07478546,20.12017304,1.139586939,62.88799966,1,34.8385863087108,2.92045,0.025695,0.388607,1.33445,129.870056,205.698456,0.368639,19.090471
"5009","Mai","W_NW_W","W","NW","W",1.187771512,0.011813653,0.344371305,NA,NA,NA,100.5422749,1,21.4790100064063,2.922002,0.009675,0.152612,1.391156,143.464203,428.401215,0.665117,30.341915
"TT24_135","Mai","W_NW_W","W","NW","W",2.080280361,0.014264155,0.350187459,23.04497963,50.37984485,0.607180606,145.8397193,2,78.2845964509087,2.921875,0.018411,0.273658,1.311411,127.152084,417.201599,0.695226,46.605614
"flag2","Mai","W_NW_W","W","NW","W",1.016602582,0.011391759,0.516954497,9.18903642,22.16486717,0.750790786,89.24017634,1,52.586605561088,2.920459,0.009794,0.152041,1.369364,134.365082,315.193481,0.573706,37.578651
"2608","Mai","W_NW_W","W","NW","W",0.05849167,0.007325579,0.811195362,NA,NA,NA,7.984579747,2,112.936089276775,2.922934,-0.003004,-0.047903,1.406558,196.299072,199.686523,0.016964,1.082472
"TT24_210","Mai","NW_W_NW","NW","W","NW",3.135401092,0.020418839,0.270196936,17.82341851,35.72354713,1.713064878,153.554329,1,10.3169073145619,NA,NA,NA,NA,NA,NA,NA,NA
"2285","Mai","NW_W_NW","NW","W","NW",2.467150024,0.020474746,0.450859744,20.01935225,39.11640085,0.7614164,120.4972225,1,49.0961867396386,2.922501,0.017723,0.262514,1.3082,161.228302,420.677887,0.616742,40.479935
"5567","Mai","NW_NW_NW","NW","NW","NW",1.513530013,0.01294884,0.209107788,15.67295057,41.15930469,1.069932423,116.8853745,2,149.371946965243,2.922143,0.012792,0.198364,1.369602,136.540176,268.795563,0.49203,34.737282
"4216","Mai","NW_NW_NW","NW","NW","NW",2.085806552,0.019564819,0.427859232,24.66700576,57.99771922,2.132140943,106.6100613,2,119.249604532506,2.92186,0.002096,0.035517,1.495458,125.225189,252.083359,0.503239,28.916431
"4883","Mai","NW_NW_NW","NW","NW","NW",1.937680645,0.017495297,0.413784942,25.97366476,76.81442175,2.012242827,110.7543727,1,50.4815618120962,2.922752,0.010892,0.174356,1.412593,123.802544,278.773987,0.555903,35.19651
"4859","Mai","NW_NW_NW","NW","NW","NW",1.688326255,0.013392438,0.225035838,NA,NA,NA,126.0656391,1,158.342447525019,2.922224,0.025256,0.386237,1.35055,140.762329,396.081268,0.644612,37.984856
"54","Mai","NW_NW_W","NW","NW","W",0.810727684,0.005961734,0.425031418,20.93030846,33.42852801,1.837979829,135.9885704,1,43.7007997036517,2.920622,0.008746,0.132675,1.339955,126.894592,315.059875,0.597237,35.372177
"1468","Mai","NW_NW_W","NW","NW","W",2.356063302,0.014486012,0.317692695,33.18010778,53.64748051,1.000666982,162.6440253,3,72.8009615449053,2.9225,0.020763,0.312332,1.328437,134.032486,398.706726,0.663832,45.998257
"3438","Mai","NW_NW_W","NW","NW","W",1.054986333,0.007603679,0.41473769,15.00581115,31.43689102,0.942095575,138.7468268,1,41.0922834170356,2.92126,0.017647,0.263856,1.320542,128.98671,403.03656,0.679963,42.015118
"2265","Mai","NW_NW_W","NW","NW","W",1.95034485,0.011263494,0.276976629,41.17815233,52.79476217,1.755273069,173.1562915,1,81.0959857861989,2.921631,0.01668,0.251498,1.331533,142.608765,430.205566,0.66851,49.016582
"1264","Mai","W_W_W","W","W","W",1.177892859,0.007964714,0.379783241,20.71693216,29.69037856,1.233697304,147.8889084,1,62.0752232192142,2.921804,0.029721,0.449491,1.335026,140.945084,420.410736,0.664744,40.314613
"4740","Mai","W_W_W","W","W","W",1.977889284,0.013627308,0.386236241,23.58424868,40.50785634,0.98731033,145.1415998,1,76.1633458798111,2.921533,0.033308,0.497056,1.317557,123.898743,395.67218,0.686865,53.597485
"5074","Mai","W_W_W","W","W","W",2.906463994,0.021022358,0.417115262,40.53626054,187.0964746,2.148553375,138.2558509,1,65.8798963856702,2.922788,0.027428,0.413653,1.331605,134.907608,419.2099,0.678186,46.707741
"5596","Mai","W_W_W","W","W","W",0.984771768,0.008122485,0.488104345,23.05098647,51.13826305,2.860190874,121.2402076,1,48.4089329196999,2.921467,0.023629,0.386647,1.443839,194.822067,449.283691,0.566372,34.120136
"2639","Mai","W_W_W","W","W","W",0.908711278,0.009207271,0.576301393,17.27803502,31.27781547,2.04603849,98.6949638,2,109.770026459661,2.923005,0.023054,0.341083,1.306436,143.109436,413.069122,0.653546,44.432381
"TT24_106","Mai","W_W_W","W","W","W",1.268389182,0.013841777,0.603087581,20.44524801,51.3357322,1.957794404,91.63485165,1,44.3622989662841,2.922303,0.024944,0.369667,1.308521,141.92247,421.31604,0.663145,42.37236
"TT24_111","Mai","W_W_W","W","W","W",1.26279868,0.014122009,0.611322829,23.22545846,46.63007586,2.957860133,89.42061147,2,55.2105320339368,2.92232,0.013751,0.212894,1.366616,144.935486,433.117859,0.665367,31.3258
"4844","Mai","W_W_W","W","W","W",0.654750373,0.005384756,0.486968014,11.83502426,21.12976655,1.164315331,121.5933225,1,92.1761845454241,2.922036,0.006956,0.10877,1.380039,133.067612,324.43866,0.589853,38.492119
"5600","Mai","W_W_W","W","W","W",2.969509807,0.02086819,0.402560518,47.59304922,109.4186951,3.043129404,142.2983885,1,117.800182115739,2.921632,0.028858,0.431329,1.319543,134.910828,420.452576,0.679129,52.064972
"4193","Mai","W_NW_W","W","NW","W",1.819415207,0.015857157,0.510746153,25.57043701,51.22671073,1.986766949,114.737796,1,19.4934163324506,2.922313,0.014626,0.227437,1.371633,133.381607,385.234467,0.653765,38.921955
"4061","Mai","W_NW_W","W","NW","W",0.71113265,0.010053887,0.686743155,12.72605841,34.31249726,2.022267942,70.73211433,1,13.5553982601251,2.922223,0.021316,0.310169,1.284035,131.449341,438.02182,0.699902,35.501945
"TT24_104","Mai","W_NW_W","W","NW","W",2.782044025,0.018994026,0.382800275,28.29037996,56.65187883,0.828425571,146.4694217,1,165.891342648502,2.922686,0.005619,0.090605,1.421926,131.611343,389.039276,0.661702,44.799656
"4237","Mai","W_NW_W","W","NW","W",3.752878216,0.036149759,0.553442785,33.76025138,123.7158508,1.763166079,103.8147494,1,103.780132484886,2.920969,0.022403,0.339359,1.336277,126.847389,295.55603,0.570818,40.810596
"5178","Mai","W_W_W","W","W","W",2.799592777,0.017888655,0.346329298,41.57021067,106.8597667,2.12204941,156.5010188,1,24.590692073357,2.922238,0.012515,0.191044,1.347287,131.821274,367.795563,0.641591,43.953728
"5122","Mai","W_W_W","W","W","W",1.478489633,0.012103491,0.483040756,19.60560026,46.23199581,1.461581582,122.1539795,1,28.416856240279,2.922038,0.01699,0.247818,1.287765,135.598892,454.239197,0.701481,37.56073
