"id","spp","full_trt","plantGMtrt","expSoilSource","ExpFungSource","anet","gsw","ci.ca","Vcmax","Jmax","Rd","iwue","n_stems","total_leaf_area","gbw","gtw","E_apparent","VPDleaf","Fs","Fm.","PhiPS2","ETR"
"545","Mai","W_W_W","W","W","W",2.830480182,0.026150941,0.535451455,27.53864139,85.35026531,1.636532964,108.2362662,1,47.0453567365559,2.922194,0.019823,0.298163,1.327906,122.061966,360.336578,0.661256,42.150181
"2799","Mai","W_W_NW","W","W","NW",0.221537568,0.002599023,0.627754453,3.258261685,7.291745365,0.55002059,85.23879462,1,46.3690604640109,2.921592,0.005109,0.083816,1.446852,156.88884,413.311005,0.62041,32.606106
"3136","Mai","W_W_NW","W","W","NW",1.14835714,0.011397746,0.567743757,16.99820897,44.50358701,1.947778646,100.7530062,1,67.4254231062048,2.92226,0.003383,0.050927,1.328522,113.607285,260.538147,0.563951,27.123621
"TT24_130","Mai","W_W_NW","W","W","NW",2.423979739,0.01897088,0.459831671,23.28587217,64.30483427,1.098416961,127.7737092,1,88.7103536801973,2.920071,0.001729,0.028358,1.446829,125.982643,403.488159,0.687766,38.506386
"2546","Mai","W_W_NW","W","W","NW",1.832495464,0.014914532,0.479059598,33.34888861,80.75986161,2.50060881,122.8664382,1,30.6951868322724,2.921869,0.004754,0.072085,1.338165,127.486465,366.675293,0.652318,32.931938
"1689","Mai","W_W_NW","W","W","NW",0.919234797,0.022086419,0.800448842,8.337414649,19.53578319,1.142863495,41.61991096,1,56.1661552744873,2.921398,0.018105,0.280299,1.366001,130.492691,362.61911,0.640138,28.346203
"2689","Mai","W_W_W","W","W","W",2.373384048,0.016710325,0.40408107,33.7701891,67.39778858,2.571387967,142.030991,2,68.2917678735477,2.92165,0.009347,0.143678,1.356565,127.094505,270.796906,0.530665,43.730095
"2310","Mai","NW_W_NW","NW","W","NW",1.867821694,0.017314424,0.537973482,22.76800912,64.88344291,2.029872024,107.8766301,1,41.7387616229531,2.921001,0.006021,0.092633,1.358615,135.603912,289.299622,0.531268,34.052757
"4736","Mai","NW_W_NW","NW","W","NW",2.385667007,0.01680765,0.402161296,33.48783925,68.09131975,1.844999975,141.9393548,1,49.7870672530613,2.921894,0.019189,0.281722,1.296406,129.698395,416.217499,0.688388,40.539108
"2616","Mai","NW_W_NW","NW","W","NW",1.217899348,0.00906999,0.433693192,29.45891341,56.6624183,2.628377916,134.2779186,2,50.0368858530294,2.921208,0.003256,0.049373,1.338668,140.818832,435.047302,0.676314,43.812523
"6899","Mai","W_NW_NW","W","NW","NW",2.278667624,0.0165956,0.421348331,34.82058612,103.5659421,2.109030214,137.3055255,1,45.6964430732618,2.922246,0.005321,0.088606,1.468409,200.623871,404.438934,0.503945,30.80957
"4781","Mai","NW_W_NW","NW","W","NW",1.516120216,0.013368846,0.521546807,17.82341851,35.72354713,1.713064878,113.4069624,1,106.530696251647,2.922417,0.035843,0.548807,1.351987,153.052216,415.11203,0.631299,43.018867
"TT24_230","Mai","NW_W_NW","NW","W","NW",1.874459075,0.010691279,0.270196936,17.82341851,35.72354713,1.713064878,175.32599,1,72.1421038932912,2.922805,0.030355,0.460541,1.339399,153.934128,429.800842,0.641848,39.863297
"2803","Mai","NW_W_NW","NW","W","NW",0.24143238,0.003735325,0.711768091,NA,NA,NA,64.63490593,1,51.8813432376101,2.921089,0.005006,0.079571,1.403153,139.500977,443.017761,0.685112,25.241442
"5069","Mai","NW_W_NW","NW","W","NW",3.704638634,0.037716293,0.576311205,26.41251758,97.49551711,1.298567402,98.22382688,1,33.0387806524955,2.922295,0.024094,0.367153,1.345155,130.507355,428.832001,0.695668,28.971378
"5664","Mai","W_NW_NW","W","NW","NW",0.965372504,0.009676238,0.572640061,16.09769149,34.83044436,1.681833318,99.76733768,2,23.0144645252073,NA,NA,NA,NA,NA,NA,NA,NA
"5579","Mai","W_NW_NW","W","NW","NW",0.833210329,0.007551442,0.531264466,19.54409633,36.99838052,2.340155705,110.3379102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3960","Mai","W_NW_NW","W","NW","NW",1.83787581,0.012689612,0.390639944,22.44207712,40.35943396,1.000028182,144.8330973,1,74.5450387150862,2.922785,0.013054,0.195526,1.321743,148.012512,436.525604,0.660931,40.818405
"6483","Mai","W_NW_NW","W","NW","NW",3.833398738,0.024243551,0.336066432,41.95406715,169.7908697,1.319517009,158.1203516,1,221.112126998817,2.921924,0.01387,0.208543,1.326787,149.435883,413.422668,0.63854,45.806911
"631","Mai","W_NW_NW","W","NW","NW",3.655856727,0.028732156,0.459216182,32.0435373,87.21367121,1.436358167,127.2392082,1,44.3622989662841,2.92167,0.029426,0.428232,1.284606,136.177902,415.01297,0.671871,39.813545
"6808","Mai","W_NW_NW","W","NW","NW",3.96811977,0.031467012,0.464273751,40.50228986,NA,1.829335884,126.1041169,1,41.7387616229531,2.921958,0.007484,0.107394,1.266758,121.8853,427.124664,0.714638,43.742668
"901","Mai","W_NW_NW","W","NW","NW",2.522436722,0.018781358,0.432563368,24.64544648,63.6956734,1.204905785,134.3053452,1,64.3478483437153,2.92307,0.020924,0.312281,1.317186,66.60569,189.904831,0.649268,39.817719
"4250","Mai","W_NW_NW","W","NW","NW",0.727944389,0.007591163,0.586713092,8.526998854,15.92030071,1.142616648,95.89365864,1,31.8589020141985,2.922705,0.020736,0.311296,1.324808,150.17688,370.563599,0.594734,33.296776
"4722","Mai","W_NW_NW","W","NW","NW",1.638703792,0.016578525,0.574191395,19.99997564,56.80415621,1.721593551,98.84497086,2,80.9334550473441,2.921911,0.005471,0.096889,1.560892,180.801636,459.120422,0.6062,36.080231
"1153","Mai","W_NW_NW","W","NW","NW",1.085387795,0.011149435,0.582059047,27.59383207,52.47332935,3.980892434,97.34912815,1,11.0953248492413,2.920574,0.01241,0.194866,1.384996,124.681595,452.771881,0.724626,25.909409
"1495","Mai","W_NW_NW","W","NW","NW",1.435139777,0.015733091,0.604427164,13.4471228,39.29460114,1.18584744,91.21791827,1,9.18958683997628,2.921535,0.001092,0.019561,1.578704,144.888641,421.625641,0.656357,25.822184
"TT24_112","Mai","W_NW_NW","W","NW","NW",1.213949711,0.009130893,0.440297628,18.83929767,39.15611489,1.427946021,132.9497284,1,112.112332351579,2.921499,0.003714,0.056487,1.342365,131.763336,322.031708,0.590837,46.371262
"1700","Mai","W_NW_NW","W","NW","NW",2.955533756,0.026474556,0.523009905,23.21194824,53.6277396,1.082375397,111.6367619,2,38.5401704946525,2.920777,0.029824,0.445979,1.319599,153.056503,475.821442,0.678332,33.556179
"2726","Mai","NW_W_W","NW","W","W",1.382496164,0.006948148,0.181093909,54.60186556,92.86578911,0,198.9733211,1,39.8107170553498,2.921287,0.003867,0.059979,1.368982,147.789719,327.557953,0.548814,40.013519
"5569","Mai","NW_W_W","NW","W","W",0.756955593,0.009019888,0.636077567,5.16562687,9.377562809,0.71603245,83.92073083,1,17.5809363095011,2.921719,0.011343,0.16454,1.280702,135.439392,392.559021,0.654983,42.278957
"TT24_212","Mai","NW_NW_NWsterile","NW","NW","NWsterile",0.756955593,0.009019888,0.636077567,8.707225568,19.29364393,1.05770942,83.92073083,1,33.634735369619,2.921636,0.011959,0.175148,1.292275,140.387543,387.333496,0.637554,34.466324
"1401","Mai","NW_NW_NWsterile","NW","NW","NWsterile",2.765163911,0.019478194,0.405168384,33.37578109,69.38604531,1.465081859,141.9620254,2,92.0173059253183,2.922061,0.015805,0.258699,1.443175,133.204941,381.610199,0.65094,37.368629
"5052","Mai","NW_W_W","NW","W","W",1.065670584,0.005663491,0.225574539,6.70535167,17.2737453,0,188.1649647,1,53.2954328381501,2.922002,0.004249,0.066465,1.38033,122.330185,215.878693,0.433338,35.4431
"4865","Mai","NW_W_W","NW","W","W",0.104332531,0.003949387,0.865486151,NA,NA,NA,26.4173987,1,67.4254231062048,2.922104,0.012883,0.192091,1.316155,115.202667,182.232086,0.367824,27.324423
"179","Mai","NW_W_W","NW","W","W",1.291714357,0.006671038,0.205352399,27.26241795,29.13683688,0,193.6301902,1,93.9277191825512,2.921877,0.000317,0.005035,1.400643,204.865692,373.184174,0.451033,32.490467
"5030","Mai","NW_W_W","NW","W","W",1.404617267,0.009619745,0.393079785,32.43352354,54.77242067,2.572580593,146.0139813,1,62.0752232192142,2.921565,0.009758,0.15301,1.383659,149.243835,359.594208,0.584966,40.357662
"5077","Mai","W_NW_NWsterile","W","NW","NWsterile",2.922378751,0.019402089,0.370652387,39.34802104,NA,2.115793841,150.6218634,1,41.7387616229531,2.920783,0.013361,0.20601,1.360424,121.967911,424.673035,0.712796,36.575798
"6027","Mai","W_NW_NWsterile","W","NW","NWsterile",5.684667587,0.043481515,0.445838113,39.90903574,NA,0.493280629,130.7375709,2,72.8002488266536,2.921566,0.005363,0.08162,1.342965,122.870209,408.295105,0.699065,30.22353
"6463","Mai","NW_W_NWsterile","NW","W","NWsterile",1.408499692,0.009580311,0.388199353,28.23649417,52.80048505,2.221505312,147.0202504,1,49.0961867396386,2.922531,0.018503,0.270239,1.288873,133.158081,400.366577,0.66741,36.372093
"2692","Mai","W_NW_Wsterile","W","NW","Wsterile",3.291611079,0.034831745,0.589137187,26.00803438,81.76749484,1.685939982,94.50032197,NA,NA,2.921547,0.017627,0.263088,1.317096,125.48983,435.900482,0.712114,31.394979
"4804","Mai","W_NW_Wsterile","W","NW","Wsterile",1.194903227,0.02100266,0.740901086,20.11932447,71.18778738,2.71892269,56.89294697,NA,NA,2.921082,0.006023,0.09166,1.342851,120.023849,436.299957,0.724905,23.562466
"2776","Mai","NW_NW_Wsterile","NW","NW","Wsterile",5.715841392,0.049047328,0.504271644,39.56980693,NA,1.2890442,116.5372631,4,68.3876614350212,2.921964,0.012986,0.200912,1.364832,134.749527,433.936371,0.689472,28.010864
"TT24_206","Mai","NW_W_Wsterile","NW","W","Wsterile",2.069923498,0.007809928,0.271019288,18.60932822,30.12287648,0.565244084,265.0374453,1,19.9830313921865,2.923311,0.022456,0.33557,1.318321,131.843094,457.456848,0.711791,39.707283
"6886","Mai","W_W_Wsterile","W","W","Wsterile",1.902128513,0.016627452,0.516984693,24.26389915,41.53501362,2.225667851,114.3968731,1,12.3022905505413,2.921842,0.030857,0.460595,1.316737,130.938293,437.280334,0.700562,41.521858
"1021","Mai","NW_NW_W","NW","NW","W",NA,NA,NA,NA,NA,NA,NA,1,9.93570903120103,NA,NA,NA,NA,NA,NA,NA,NA
"1159","Mai","W_W_NW","W","W","NW",NA,NA,NA,NA,NA,NA,NA,1,56.892631344565,NA,NA,NA,NA,NA,NA,NA,NA
"129","Mai","NW_W_NW","NW","W","NW",NA,NA,NA,NA,NA,NA,NA,1,3.7910938669361,NA,NA,NA,NA,NA,NA,NA,NA
"1467","Mai","NW_W_W","NW","W","W",NA,NA,NA,NA,NA,NA,NA,1,89.5721380697383,2.921446,0.004018,0.065609,1.440446,134.06575,198.290451,0.323892,25.393553
"1499","Mai","NW_W_W","NW","W","W",NA,NA,NA,NA,NA,NA,NA,2,45.4385543349771,2.92046,0.017353,0.297945,1.513716,187.307953,450.64679,0.584358,35.922714
"2247","Mai","W_W_NWsterile","W","W","NWsterile",NA,NA,NA,NA,NA,NA,NA,1,16.1957016979341,NA,NA,NA,NA,NA,NA,NA,NA
"2337","Mai","NW_NW_W","NW","NW","W",NA,NA,NA,NA,NA,NA,NA,1,47.0453567365559,2.921492,0.002556,0.041803,1.443435,154.249542,154.949432,0.004517,0.313087
"TT24_235","Mai","NW_NW_W","NW","NW","W",NA,NA,NA,NA,NA,NA,NA,1,27.857618025476,NA,NA,NA,NA,NA,NA,NA,NA
"2637","Mai","NW_NW_NW","NW","NW","NW",NA,NA,NA,NA,NA,NA,NA,1,17.1144607058876,2.922417,0.015226,0.236754,1.373021,115.317825,430.364227,0.732046,30.753407
"2662","Mai","NW_NW_W","NW","NW","W",NA,NA,NA,NA,NA,NA,NA,1,4.33215526971967,NA,NA,NA,NA,NA,NA,NA,NA
"2666","Mai","W_NW_W","W","NW","W",NA,NA,NA,NA,NA,NA,NA,1,43.0430342379188,2.921867,0.01155,0.177287,1.353767,131.418228,301.331207,0.563874,38.982605
"2743","Mai","NW_NW_W","NW","NW","W",NA,NA,NA,NA,NA,NA,NA,1,1.52163105668876,NA,NA,NA,NA,NA,NA,NA,NA
"2753","Mai","NW_NW_W","NW","NW","W",NA,NA,NA,NA,NA,NA,NA,1,21.4790100064063,NA,NA,NA,NA,NA,NA,NA,NA
"4632","Mai","NW_W_NW","NW","W","NW",NA,NA,NA,NA,NA,NA,NA,1,52.586605561088,2.922738,-0.005323,-0.082871,1.374705,143.749237,146.938202,0.021703,1.364876
"4676","Mai","NW_NW_NW","NW","NW","NW",NA,NA,NA,NA,NA,NA,NA,1,127.512438975781,2.922883,0.014257,0.269355,1.672712,129.766708,152.156403,0.147149,7.468486
"4698","Mai","NW_W_NW","NW","W","NW",NA,NA,NA,NA,NA,NA,NA,1,44.3622989662841,2.92182,0.010431,0.161893,1.370466,154.376511,378.724213,0.592377,35.227013
"4871","Mai","W_W_NW","W","W","NW",NA,NA,NA,NA,NA,NA,NA,1,86.9961767685902,2.923287,0.018454,0.292739,1.399577,135.925049,337.641083,0.597427,33.838238
"4874","Mai","NW_W_W","NW","W","W",NA,NA,NA,NA,NA,NA,NA,1,46.3690604640109,2.922335,0.011391,0.16938,1.312584,137.006165,398.666443,0.656339,41.183708
"5025","Mai","NW_NW_W","NW","NW","W",NA,NA,NA,NA,NA,NA,NA,1,104.693988076574,2.9224,-0.001952,-0.030679,1.387662,104.632614,117.986084,0.113178,7.114883
"5073","Mai","W_NW_NW","W","NW","NW",NA,NA,NA,NA,NA,NA,NA,1,21.4790100064063,2.922096,0.032867,0.487107,1.307962,144.970886,382.15329,0.620647,37.457977
"5105","Mai","W_W_NW","W","W","NW",NA,NA,NA,NA,NA,NA,NA,2,212.276924738002,2.921824,-0.002391,-0.03724,1.374216,132.225388,140.617737,0.059682,3.932167
"5504","Mai","NW_W_W","NW","W","W",NA,NA,NA,NA,NA,NA,NA,1,2.33732053251501,NA,NA,NA,NA,NA,NA,NA,NA
"5506","Mai","W_W_NW","W","W","NW",NA,NA,NA,NA,NA,NA,NA,3,82.7654679928683,2.922745,0.005575,0.085718,1.356646,118.671654,188.154861,0.369287,17.358681
"5607","Mai","W_W_Wsterile","W","W","Wsterile",NA,NA,NA,NA,NA,NA,NA,1,6.11193476404781,NA,NA,NA,NA,NA,NA,NA,NA
"5657","Mai","NW_NW_W","NW","NW","W",NA,NA,NA,NA,NA,NA,NA,1,31.8589020141985,2.921138,0.005611,0.088454,1.39193,183.082932,408.839935,0.552189,30.159006
"6000","Mai","W_NW_W","W","NW","W",NA,NA,NA,NA,NA,NA,NA,1,21.4790100064063,NA,NA,NA,NA,NA,NA,NA,NA
"6462","Mai","NW_W_NW","NW","W","NW",NA,NA,NA,NA,NA,NA,NA,1,20.9758555852203,NA,NA,NA,NA,NA,NA,NA,NA
"6495","Mai","W_W_NW","W","W","NW",NA,NA,NA,NA,NA,NA,NA,2,15.2167487124582,NA,NA,NA,NA,NA,NA,NA,NA
"652","Mai","NW_NW_W","NW","NW","W",NA,NA,NA,NA,NA,NA,NA,1,4.33215526971967,NA,NA,NA,NA,NA,NA,NA,NA
"6685","Mai","NW_NW_NW","NW","NW","NW",NA,NA,NA,NA,NA,NA,NA,1,77.7946516967445,2.920892,0.030201,0.443837,1.298153,145.338531,438.309906,0.668411,36.236649
"682","Mai","NW_NW_Wsterile","NW","NW","Wsterile",NA,NA,NA,NA,NA,NA,NA,1,23.5359641729664,NA,NA,NA,NA,NA,NA,NA,NA
"6882","Mai","NW_NW_W","NW","NW","W",NA,NA,NA,NA,NA,NA,NA,1,4.05824242551648,NA,NA,NA,NA,NA,NA,NA,NA
"860","Mai","NW_NW_W","NW","NW","W",NA,NA,NA,NA,NA,NA,NA,1,4.05824242551648,NA,NA,NA,NA,NA,NA,NA,NA
"9412","Mai","W_NW_W","W","NW","W",NA,NA,NA,NA,NA,NA,NA,2,4.56298725466482,NA,NA,NA,NA,NA,NA,NA,NA
"TT24_101","Mai","W_NW_W","W","NW","W",NA,NA,NA,NA,NA,NA,NA,1,191.60993263153,2.920417,-0.001259,-0.020982,1.469153,232.836487,228.018158,-0.021131,-1.611013
"TT24_102","Mai","W_W_NW","W","W","NW",NA,NA,NA,NA,NA,NA,NA,1,23.0151260582511,2.921926,0.033607,0.475958,1.250232,143.315079,428.262604,0.665357,24.921602
"TT24_110","Mai","W_NW_W","W","NW","W",NA,NA,NA,NA,NA,NA,NA,1,97.4677359091201,NA,NA,NA,NA,NA,NA,NA,NA
"TT24_131","Mai","W_NW_W","W","NW","W",NA,NA,NA,NA,NA,NA,NA,1,21.4790100064063,NA,NA,NA,NA,NA,NA,NA,NA
"TT24_132","Mai","W_W_NWsterile","W","W","NWsterile",NA,NA,NA,NA,NA,NA,NA,1,10.3169073145619,2.922722,0.002609,0.038973,1.318014,154.97052,432.813416,0.641946,31.596048
"TT24_150","Mai","W_W_W","W","W","W",NA,NA,NA,NA,NA,NA,NA,1,15.7434838583591,NA,NA,NA,NA,NA,NA,NA,NA
"TT24_205","Mai","NW_W_NW","NW","W","NW",NA,NA,NA,NA,NA,NA,NA,1,8.11190318054371,NA,NA,NA,NA,NA,NA,NA,NA
"TT24_211","Mai","NW_W_W","NW","W","W",NA,NA,NA,NA,NA,NA,NA,1,4.61272280147974,2.921462,0.032752,0.511497,1.377681,133.352997,429.738922,0.689688,18.922295
"TT24_231","Mai","NW_W_NWsterile","NW","W","NWsterile",NA,NA,NA,NA,NA,NA,NA,1,15.2960855243423,NA,NA,NA,NA,NA,NA,NA,NA
"TT24_233","Mai","NW_W_W","NW","W","W",NA,NA,NA,NA,NA,NA,NA,1,5.19341287355755,NA,NA,NA,NA,NA,NA,NA,NA
"TT24_234","Mai","NW_W_W","NW","W","W",NA,NA,NA,NA,NA,NA,NA,1,3.7910938669361,NA,NA,NA,NA,NA,NA,NA,NA
