"id","spp","trt","full_trt","plantGMtrt","expSoilSource","ExpFungSource","anet","gsw","ci.ca","Vcmax","Jmax","Rd","iwue"
"5015","Mai","orange","W_W_NW","W","W","NW",2.76728299056831,0.0173157283885271,0.249657481319107,46.0383251390571,250.649270736665,"1.95333014977288",159.813259279456
"1941","Mai","orange","W_W_NW","W","W","NW",2.07010525,0.013853551,0.365161543443006,32.0024361207246,51.8808073595922,"1.54470557051268",149.427771262401
"3993","Mai","orange","W_W_NW","W","W","NW",1.31145940368536,0.020853889625512,0.686317306471379,10.0747854589711,20.1201730403233,"1.13958693892298",62.8879996603108
"5009","Mai","pink","W_NW_W","W","NW","W",1.18777151200241,0.0118136526492674,0.34437130499825,NA,NA,NA,100.542274880248
"TT24_135","Mai","pink","W_NW_W","W","NW","W",2.080280361,0.014264155,0.350187458771426,23.0449796314013,50.3798448507732,"0.607180606226964",145.839719282355
"flag2","Mai","pink","W_NW_W","W","NW","W",1.016602582,0.011391759,0.516954497412235,9.18903642046972,22.1648671725677,"0.750790785659994",89.2401763415114
"2608","Mai","pink","W_NW_W","W","NW","W",0.0584916697554748,0.00732557900493174,0.811195361560032,NA,NA,NA,7.98457974667899
"TT24_230","Mai","green","NW_W_NW","NW","W","NW",3.1354010924187,0.0204188388098949,0.270196935998818,17.8234185078768,35.7235471341741,"1.71306487813958",153.5543290003
"2285","Mai","green","NW_W_NW","NW","W","NW",2.467150024,0.020474746,0.450859744428923,20.0193522499692,39.1164008513393,"0.761416400162208",120.497222480806
"5567","Mai","blue","NW_NW_NW","NW","NW","NW",1.513530013,0.01294884,0.209107787721864,15.6729505709778,41.1593046920267,"1.06993242274433",116.885374520034
"4216","Mai","blue","NW_NW_NW","NW","NW","NW",2.085806552,0.019564819,0.427859231886923,24.6670057581718,57.9977192239009,"2.13214094262108",106.610061253314
"4883","Mai","blue","NW_NW_NW","NW","NW","NW",1.937680645,0.017495297,0.413784942496235,25.973664762811,76.8144217479934,"2.01224282738942",110.754372732283
"4859","Mai","blue","NW_NW_NW","NW","NW","NW",1.688326255,0.013392438,0.22503583824164,NA,NA,NA,126.065639056907
"54","Mai","white","NW_NW_W","NW","NW","W",0.810727684,0.005961734,0.425031417908811,20.9303084600318,33.4285280069336,"1.83797982926671",135.988570439406
"1468","Mai","white","NW_NW_W","NW","NW","W",2.356063302,0.014486012,0.317692694879104,33.1801077781151,53.6474805079396,"1.00066698237278",162.64402528453
"3438","Mai","white","NW_NW_W","NW","NW","W",1.054986333,0.007603679,0.414737689716614,15.0058111505081,31.4368910177,"0.942095574775391",138.746826766359
"2265","Mai","white","NW_NW_W","NW","NW","W",1.95034485,0.011263494,0.276976629379101,41.1781523293754,52.7947621678287,"1.75527306888738",173.156291466928
"1264","Mai","red","W_W_W","W","W","W",1.177892859,0.007964714,0.37978324109073,20.7169321645,29.6903785618508,"1.23369730402573",147.888908377627
"4740","Mai","red","W_W_W","W","W","W",1.977889284,0.013627308,0.386236240513612,23.5842486793748,40.5078563368668,"0.987310330423891",145.141599793591
"5074","Mai","red","W_W_W","W","W","W",2.906463994,0.021022358,0.417115262316958,40.5362605391633,187.096474610385,"2.14855337495398",138.255850937369
"5596","Mai","red","W_W_W","W","W","W",0.984771768,0.008122485,0.488104344581412,23.0509864665269,51.138263050077,"2.86019087436091",121.240207645813
"2639","Mai","red","W_W_W","W","W","W",0.908711278,0.009207271,0.576301393249481,17.2780350206282,31.2778154734192,"2.04603848957374",98.6949637954612
"TT24_106","Mai","red","W_W_W","W","W","W",1.268389182,0.013841777,0.603087580765554,20.4452480133894,51.3357321973539,"1.95779440406665",91.6348516523565
"TT24_111","Mai","red","W_W_W","W","W","W",1.26279868,0.014122009,0.61132282884513,23.2254584559621,46.6300758595078,"2.95786013301385",89.4206114724895
"4844","Mai","red","W_W_W","W","W","W",0.654750373,0.005384756,0.486968014119548,11.8350242551328,21.1297665510594,"1.1643153308701",121.593322520092
"5600","Mai","red","W_W_W","W","W","W",2.969509807,0.02086819,0.402560517915979,47.5930492186311,109.418695134533,"3.04312940356379",142.298388456306
"4193","Mai","pink","W_NW_W","W","NW","W",1.81941520666598,0.015857156659977,0.5107461527963,25.5704370130388,51.2267107334722,"1.9867669487172",114.737796042473
"4061","Mai","pink","W_NW_W","W","NW","W",0.71113265011634,0.0100538865100504,0.686743155223486,12.7260584088395,34.3124972595056,"2.0222679423103",70.7321143326464
"TT24_104","Mai","pink","W_NW_W","W","NW","W",2.78204402469935,0.0189940261465568,0.382800274866714,28.2903799589991,56.6518788344485,"0.82842557139302",146.469421660961
"4237","Mai","pink","W_NW_W","W","NW","W",3.75287821646597,0.036149759433928,0.553442784794484,33.760251375788,123.715850780208,"1.76316607866438",103.814749398961
"5178","Mai","red","W_W_W","W","W","W",2.79959277659694,0.0178886552767379,0.346329297833898,41.5702106716306,106.859766690241,"2.12204941008065",156.501018846145
"5122","Mai","red","W_W_W","W","W","W",1.47848963276636,0.0121034913333953,0.483040756307458,19.6056002631813,46.2319958129235,"1.46158158232604",122.153979545307
"545","Mai","red","W_W_W","W","W","W",2.83048018246655,0.0261509407434548,0.535451455446009,27.5386413851119,85.3502653131197,"1.63653296368072",108.236266153254
"2799","Mai","orange","W_W_NW","W","W","NW",0.221537567907812,0.00259902276764092,0.627754452828188,3.25826168493201,7.29174536465014,"0.55002059032207",85.2387946216021
"3136","Mai","orange","W_W_NW","W","W","NW",1.14835714026552,0.0113977456730931,0.567743757255916,16.9982089706287,44.5035870127372,"1.94777864631495",100.753006182308
"TT24_130","Mai","orange","W_W_NW","W","W","NW",2.42397973904769,0.0189708802647384,0.459831670868884,23.2858721662408,64.3048342718572,"1.09841696055031",127.773709243909
"2546","Mai","orange","W_W_NW","W","W","NW",1.83249546446151,0.014914532325394,0.479059597722641,33.3488886134784,80.7598616138358,"2.50060881023668",122.866438214857
"1689","Mai","orange","W_W_NW","W","W","NW",0.919234796624616,0.0220864191036079,0.800448841935405,8.33741464893353,19.5357831890407,"1.14286349545591",41.6199109648541
"2689","Mai","red","W_W_W","W","W","W",2.3733840483058,0.0167103252049754,0.404081070441885,33.7701890999518,67.3977885838761,"2.57138796714662",142.030990970729
"2310","Mai","green","NW_W_NW","NW","W","NW",1.86782169368967,0.0173144238176491,0.537973482007953,22.7680091161597,64.8834429129074,"2.02987202403777",107.876630106844
