id,spp,plot,subplot,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,machine,anet,gsw,iwue,ci.ca,Vcmax,Jmax,Rd,TPU,leaf_length,tla,jmax_vcmax,date,alive_dead,height_cm,number_leaves,gasket,shoot_mass_g,root_mass_g,rhizome_mass_g,root_shoot_withoutRhizome,root_shoot,root_rhizome,rhizome_shoot,total_biomass,leaf_area_ratio,note
1374,Tri,5,10,PlantNW-SoilNW-FungW,NW,NW,W,stan,1.529004063,0.015462165,98.88680292,0.551545524,11.56570921,25.41488266,0.803779923,NA,6.5,61.43408363,0.455076239,12/22/25,alive,11.4,3,good,4.13,0.83,12.15,0.200968523,3.142857143,14.63855422,2.94188862,17.11,3.590536741,
1647,Tri,7,11,PlantNW-SoilNW-FungW,NW,NW,W,yadi,0.115296305,0.00809024,14.25128365,0.911306059,3.586022022,10.0181281,0.826224151,NA,5.5,42.54004225,0.357953301,12/24/25,alive,8.5,3,good,1.8,1.49,8.89,0.827777778,5.766666667,5.966442953,4.938888889,12.18,3.492614306,senessed
1666,Tri,3,27,PlantW-SoilNW-FungW,W,NW,W,albert,-0.199501332,0.001711342,NA,0.396315258,2.264081461,5.795374785,1.056590846,NA,5.1,36.02918078,0.390670413,12/23/25,alive,9.4,3,good,1.4,0.82,10.9,0.585714286,8.371428571,13.29268293,7.785714286,13.12,2.746126584,seneseed
1669,Tri,7,11,PlantNW-SoilNW-FungNW,NW,NW,NW,stan,0.44406416,0.005578587,79.60154925,0.450193776,6.554301691,16.83944554,1.013512927,NA,6.1,53.42267582,0.389223129,12/23/25,alive,19.9,3,good,3.72,2.95,12.08,0.793010753,4.040322581,4.094915254,3.247311828,18.75,2.849209377,
1686,Tri,3,6,PlantNW-SoilW-FungNW,NW,W,NW,yadi,-0.263915551,0.002475603,NA,NA,2.637340747,7.121785175,1.213722597,NA,7.2,76.93633466,0.370320177,12/22/25,alive,18.6,3,good,3.57,1.52,10.74,0.425770308,3.434173669,7.065789474,3.008403361,15.83,4.860160117,flowering
1750,Tri,5,20,PlantW-SoilW-FungW,W,W,W,yadi,2.652848594,0.026809715,98.95101785,0.542091251,20.68839943,53.63850699,1.108922731,NA,6.4,59.37395005,0.385700509,12/24/25,alive,10,3,good,2.47,1.42,8.42,0.574898785,3.983805668,5.929577465,3.408906883,12.31,4.823229086,
1827,Tri,7,8,PlantW-SoilNW-FungNW,W,NW,NW,gibson,3.013288744,0.02849561,105.7457181,0.571588694,21.40672235,52.6482577,0.831838747,NA,5.5,42.54004225,0.406598875,12/22/25,alive,14.2,3,good,1.69,1.3,5.42,0.769230769,3.976331361,4.169230769,3.207100592,8.41,5.058268995,
1851,Tri,7,8,PlantW-SoilW-FungNW,W,W,NW,gibson,0.165881096,0.002357868,70.35215542,0.613433681,3.011373509,8.01231296,0.217727869,NA,5.3,39.21090925,0.375843221,12/22/25,alive,9.4,3,good,1.71,0.83,3.19,0.485380117,2.350877193,3.843373494,1.865497076,5.73,6.843090619,
1926,Tri,3,5,PlantNW-SoilW-FungW,NW,W,W,gibson,1.631341476,0.016680786,97.79764088,0.561809591,18.35779416,47.28622957,1.47947356,NA,6.1,53.42267582,0.388227066,12/23/25,alive,12.9,3,good,2.34,1.17,16.82,0.5,7.688034188,14.37606838,7.188034188,20.33,2.627775495,
1975,Tri,7,18,PlantNW-SoilW-FungW,NW,W,W,gibson,3.404857837,0.019985545,170.3660256,0.270998395,48.32972427,101.4918817,0.631140225,NA,6.5,61.43408363,0.476193006,12/23/25,alive,12.2,3,good,2.36,0.92,3,0.389830508,1.661016949,3.260869565,1.271186441,6.28,9.782497394,
