plot,subplot,spp,id,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource
3,6,Tri,1686,PlantNW-SoilW-FungNW,NW,W,NW
3,23,Tri,4934,PlantNW-SoilW-FungNW,NW,W,NW
5,10,Tri,6881,PlantNW-SoilW-FungNW,NW,W,NW
5,22,Tri,4959,PlantNW-SoilW-FungNW,NW,W,NW
5,23,Tri,4431,PlantNW-SoilW-FungNW,NW,W,NW
6,6,Tri,5626,PlantNW-SoilW-FungNW,NW,W,NW
6,11,Tri,4582,PlantNW-SoilW-FungNW,NW,W,NW
6,12,Tri,4745,PlantNW-SoilW-FungNW,NW,W,NW
7,11,Tri,2289,PlantNW-SoilW-FungNW,NW,W,NW
7,12,Tri,7574,PlantNW-SoilW-FungNW,NW,W,NW
7,18,Tri,4081,PlantNW-SoilW-FungNW,NW,W,NW
7,24,Tri,2886,PlantNW-SoilW-FungNW,NW,W,NW
7,35,Tri,3427,PlantNW-SoilW-FungNW,NW,W,NW
7,35,Tri,3526,PlantNW-SoilW-FungNW,NW,W,NW
3,16,Tri,916,PlantNW-SoilW-FungNWsterile,NW,W,NWsterile
3,17,Tri,2416,PlantNW-SoilW-FungNWsterile,NW,W,NWsterile
3,4,Tri,3563,PlantNW-SoilW-FungW,NW,W,W
3,5,Tri,1926,PlantNW-SoilW-FungW,NW,W,W
5,10,Tri,4105,PlantNW-SoilW-FungW,NW,W,W
5,10,Tri,4547,PlantNW-SoilW-FungW,NW,W,W
5,11,Tri,614,PlantNW-SoilW-FungW,NW,W,W
5,22,Tri,4414,PlantNW-SoilW-FungW,NW,W,W
6,4,Tri,5641,PlantNW-SoilW-FungW,NW,W,W
6,6,Tri,2941,PlantNW-SoilW-FungW,NW,W,W
6,16,Tri,4543,PlantNW-SoilW-FungW,NW,W,W
7,11,Tri,972,PlantNW-SoilW-FungW,NW,W,W
7,11,Tri,2131,PlantNW-SoilW-FungW,NW,W,W
7,18,Tri,1975,PlantNW-SoilW-FungW,NW,W,W
7,23,Tri,2379,PlantNW-SoilW-FungW,NW,W,W
